"cod";"lat";"lon";"name"
"2";"C891";"-84.0000";" -79.4942";"AA-ProjetoCriosfera"
"3";"A140";"-11.023752";" -68.735180";"AC-Epitaciolandia"
"4";"A138";"-8.142654";" -70.343594";"AC-Feijo"
"5";"A137";"-8.950008";" -72.786778";"AC-MarechalThaumaturgo"
"6";"A102";"-9.358353";" -69.926257";"AC-ParqueEstadualChandless"
"7";"A136";"-8.267197";" -72.747838";"AC-PortoWalter"
"8";"A104";"-9.957844";" -68.165169";"AC-RioBranco"
"9";"A353";"-9.804551";" -36.619198";"AL-Arapiraca"
"10";"A355";"-10.128482";" -36.286348";"AL-Coruripe"
"11";"A303";"-9.551168";" -35.770195";"AL-Maceio"
"12";"A327";"-9.420334";" -36.620371";"AL-PalmeiradosIndios"
"13";"A323";"-9.749220";" -37.430765";"AL-PãodeAçucar"
"14";"A356";"-9.287481";" -35.565878";"AL-SãoLuisdoQuitunde"
"15";"A113";"-7.205475";" -59.888561";"AM-Apui"
"16";"A120";"-3.583333";" -59.12944";"AM-Autazes"
"17";"A128";"-0.987292";" -62.924251";"AM-Barcelos"
"18";"A110";"-8.776804";" -67.332557";"AM-BocadoAcre"
"19";"A117";"-4.097483";" -63.145322";"AM-Coari"
"20";"A109";"-6.650301";" -69.868610";"AM-Eirunepé"
"21";"A112";"-7.552520";" -63.071343";"AM-Humaitá"
"22";"A121";"-3.133333";" -58.48278";"AM-Itacoatiara"
"23";"A111";"-7.260680";" -64.788500";"AM-Lábrea"
"24";"A119";"-3.294638";" -60.628402";"AM-Manacapuru"
"25";"A101";"-3.103682";" -60.015461";"AM-Manaus"
"26";"A133";"-5.788533";" -61.288276";"AM-Manicore"
"27";"A122";"-3.399010";" -57.673772";"AM-Maués"
"28";"A123";"-2.639152";" -56.756177";"AM-Parintins"
"29";"A126";"-2.056558";" -60.025756";"AM-PresidenteFigueiredo"
"30";"A125";"-2.633654";" -59.600582";"AM-RioUrubu"
"31";"A134";"-0.125207";" -67.061246";"AM-SãoGabrieldaCachoeira"
"32";"A124";"-2.534749";" -57.758099";"AM-Urucara"
"33";"A249";"0.0353";" -51.0886";"AP-Macapá"
"34";"A242";"3.813583";" -51.862500";"AP-Oiapoque"
"35";"A244";"0.7027778";" -51.42778";"AP-PortoGrande"
"36";"A243";"1.496667";" -50.9167";"AP-Tartarugalzinho"
"37";"A422";"-17.963016";" -38.703288";"BA-Abrolhos"
"38";"A434";"-13.009468";" -39.616881";"BA-Amargosa"
"39";"A429";"-11.084858";" -43.138998";"BA-Barra"
"40";"A402";"-12.124715";" -45.027049";"BA-Barreiras"
"41";"A447";"-16.088049";" -39.215389";"BA-Belmonte"
"42";"A418";"-13.251094";" -43.405365";"BA-BomJesusdaLapa"
"43";"A433";"-14.181886";" -41.672281";"BA-Brumado"
"44";"A432";"-10.722925";" -43.651203";"BA-Buritirama"
"45";"A405";"-17.739413";" -39.258617";"BA-Caravelas"
"46";"A431";"-11.811939";" -37.616169";"BA-Conde"
"47";"A416";"-13.332386";" -44.617376";"BA-Correntina"
"48";"A406";"-12.675422";" -39.089580";"BA-CruzdasAlmas"
"49";"A443";"-10.454920";" -41.206996";"BA-Delfino"
"50";"A442";"-10.537233";" -38.996605";"BA-EuclidesdaCunha"
"51";"A413";"-12.196200";" -38.967384";"BA-FeiradeSantana"
"52";"A426";"-14.2081235";" -42.749647";"BA-Guanambi"
"53";"A439";"-12.193060";" -43.213420";"BA-Ibotirama"
"54";"A410";"-14.658803";" -39.181438";"BA-Ilheus"
"55";"A445";"-14.171304";" -39.692502";"BA-Ipiau"
"56";"A424";"-11.328998";" -41.864504";"BA-Irecê"
"57";"A408";"-12.524062";" -40.299714";"BA-Itaberaba"
"58";"A446";"-15.24462";" -40.22955";"BA-Itapetinga"
"59";"A407";"-13.527828";" -40.119752";"BA-Itiruçu"
"60";"A440";"-11.205136";" -40.464979";"BA-Jacobina"
"61";"A425";"-12.557854";" -41.388808";"BA-Lençois"
"62";"A404";"-12.152394";" -45.829745";"BA-LuisEduardoMagalhaes"
"63";"A412";"-12.131694";" -40.354222";"BA-Macajuba"
"64";"A438";"-13.90694";" -38.97222";"BA-Marau"
"65";"A411";"-9.378106";" -38.226771";"BA-PauloAfonso"
"66";"A430";"-13.155681";" -41.774125";"BA-Piatã"
"67";"A427";"-16.388977";" -39.182389";"BA-PortoSeguro"
"68";"A436";"-10.984645";" -39.617009";"BA-Queimadas"
"69";"A423";"-9.625693";" -42.077214";"BA-Remanso"
"70";"A401";"-13.005515";" -38.505760";"BA-Salvador"
"71";"A415";"-11.002768";" -44.524965";"BA-SantaRitadeCássia"
"72";"A428";"-10.443072";" -40.148244";"BA-SenhordoBonfim"
"73";"A441";"-11.664586";" -39.022946";"BA-Serrinha"
"74";"A435";"-9.833617";" -39.495631";"BA-Uaua"
"75";"A437";"-15.280215";" -39.091270";"BA-Una"
"76";"A444";"-13.34361";" -39.12667";"BA-Valença"
"77";"A414";"-14.886428";" -40.801330";"BA-VitoriadaConquista"
"78";"A360";"-3.121067";" -40.087288";"CE-Acarau"
"79";"A315";"-7.300925";" -39.271107";"CE-Barbalha"
"80";"A347";"-7.077730";" -40.362678";"CE-CamposSales"
"81";"A342";"-5.186636";" -40.672128";"CE-Crateús"
"82";"A305";"-3.815701";" -38.537792";"CE-Fortaleza"
"83";"A314";"-4.261351";" -38.931068";"CE-Guaramiranga"
"84";"A319";"-6.396375";" -39.268954";"CE-Iguatu"
"85";"A359";"-3.484298";" -39.588715";"CE-Itapipoca"
"86";"A358";"-5.905589";" -38.627792";"CE-Jaguaribe"
"87";"A339";"-4.853511";" -37.777189";"CE-Jaguaruana"
"88";"A332";"-5.136689";" -38.356590";"CE-MoradaNova"
"89";"A325";"-5.174568";" -39.289393";"CE-Quixeramobim"
"90";"A306";"-3.748177";" -40.345720";"CE-Sobral"
"91";"A324";"-6.017474";" -40.281321";"CE-Tauá"
"92";"A045";"-15.596491";" -47.625800";"DF-AguasEmendadas"
"93";"A001";"-15.789343";" -47.925756";"DF-Brasilia"
"94";"A046";"-15.935139";" -48.137377";"DF-RecantodasEmas"
"95";"A657";"-20.1042";" -41.1069";"ES-AfonsoCláudio"
"96";"A617";"-20.750412";" -41.488852";"ES-Alegre"
"97";"A615";"-20.636526";" -40.741818";"ES-AlfredoChaves"
"98";"A614";"-19.356923";" -40.068680";"ES-Linhares"
"99";"A623";"-18.695265";" -40.390572";"ES-NovaVenecia"
"100";"A622";"-21.100805";" -41.039395";"ES-PresidenteKennedy"
"101";"A613";"-19.988388";" -40.579572";"ES-SantaTeresa"
"102";"A616";"-18.676198";" -39.864051";"ES-SãoMateus"
"103";"A612";"-20.271094";" -40.306069";"ES-Vitória"
"104";"A024";"-14.133074";" -47.523258";"GO-AltoParaisodeGoias"
"105";"A013";"-15.902658";" -52.245172";"GO-Aragarças"
"106";"A023";"-16.966841";" -51.817567";"GO-Caiaponia"
"107";"A034";"-18.154779";" -47.927614";"GO-Catalão"
"108";"A036";"-16.784896";" -47.612966";"GO-Cristalina"
"109";"A022";"-15.220199";" -48.990107";"GO-Goianesia"
"110";"A002";"-16.642841";" -49.220222";"GO-Goiania"
"111";"A014";"-15.939729";" -50.141433";"GO-Goiás"
"112";"A028";"-16.423059";" -51.148800";"GO-Ipora"
"113";"A015";"-14.979792";" -49.539977";"GO-Itapaci"
"114";"A035";"-18.409761";" -49.192061";"GO-Itumbiara"
"115";"A016";"-17.923622";" -51.717467";"GO-Jatai"
"116";"A012";"-16.260542";" -47.966962";"GO-Luziânia"
